Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000023,Female,No,3+,Graduate,No,3888,492,117.0,,1.0,Semiurban,Y
LP000024,Female,Yes,1,Graduate,No,4135,5838,,36.0,1.0,Urban,Y
LP000025,Female,Yes,3+,Graduate,No,2451,0,40.0,300.0,,Urban,Y
LP000026,Male,Yes,3+,Graduate,Yes,4688,0,199.0,360.0,0.0,Urban,N
LP000027,Male,Yes,2,Graduate,No,1554,1469,230.0,480.0,1.0,Rural,Y
LP000028,Male,No,3+,Graduate,No,7172,0,173.0,60.0,,Urban,N
LP000029,Male,No,1,Graduate,No,27237,0,185.0,360.0,1.0,Semiurban,Y
LP000030,Male,Yes,,Graduate,No,4624,0,228.0,120.0,1.0,Rural,Y
LP000031,Female,Yes,3+,Graduate,Yes,13019,0,152.0,360.0,1.0,Urban,Y
LP000032,Female,Yes,2,Graduate,No,3751,0,446.0,180.0,1.0,Semiurban,N
LP000033,Male,Yes,0,Graduate,No,1853,849,134.0,360.0,1.0,Semiurban,Y
LP000034,Male,Yes,0,Graduate,No,19211,287,229.0,360.0,1.0,Rural,Y
LP000035,Male,Yes,0,Graduate,No,2566,482,82.0,360.0,1.0,Semiurban,Y
LP000036,Male,No,3+,Graduate,No,8230,0,124.0,360.0,1.0,Urban,Y
LP000037,Male,Yes,0,Graduate,No,5117,1685,247.0,240.0,1.0,Urban,Y
LP000038,Male,Yes,0,Not Graduate,No,5835,892,122.0,360.0,1.0,Semiurban,Y
LP000039,Male,Yes,1,Not Graduate,No,2582,746,98.0,,0.0,Semiurban,N
LP000040,Male,No,0,Graduate,No,2087,0,162.0,360.0,0.0,Rural,N
LP000041,Male,Yes,3+,Graduate,Yes,3896,1173,137.0,360.0,0.0,Urban,N
LP000042,Female,Yes,,Graduate,No,20515,3075,80.0,360.0,1.0,Urban,Y
LP000043,Female,No,0,Graduate,No,5474,0,108.0,300.0,1.0,Semiurban,Y
LP000044,Male,Yes,0,Graduate,No,18312,0,151.0,120.0,1.0,Urban,Y
LP000045,Female,No,2,Not Graduate,No,2124,9848,35.0,360.0,1.0,Semiurban,Y
LP000046,Female,Yes,1,Graduate,No,7072,0,137.0,180.0,1.0,Urban,Y
LP000047,Male,No,1,Not Graduate,Yes,1580,986,81.0,84.0,1.0,Rural,Y
LP000048,Male,No,0,Graduate,Yes,6120,0,116.0,360.0,1.0,Urban,Y
LP000049,Male,Yes,3+,Graduate,No,18864,0,66.0,360.0,1.0,Semiurban,Y
LP000050,Male,No,2,Graduate,No,2671,2880,110.0,60.0,,Semiurban,Y
LP000051,Male,Yes,2,Graduate,No,2839,236,360.0,360.0,1.0,Urban,Y
LP000052,Male,No,1,Not Graduate,No,4619,0,76.0,360.0,1.0,Semiurban,Y
LP000053,Female,No,3+,Graduate,No,4791,926,92.0,360.0,1.0,Semiurban,Y
LP000054,Male,No,2,Graduate,No,15252,0,109.0,180.0,1.0,Rural,Y
LP000055,Female,No,1,Not Graduate,Yes,3113,0,41.0,360.0,1.0,Semiurban,Y
LP000056,Female,Yes,3+,Graduate,Yes,6277,917,51.0,360.0,1.0,Semiurban,Y
LP000057,Male,Yes,,Graduate,No,5464,0,180.0,360.0,1.0,Semiurban,Y
LP000058,Male,Yes,,Graduate,No,2210,314,96.0,120.0,1.0,Semiurban,Y
LP000059,Male,No,2,Graduate,No,1911,0,358.0,360.0,1.0,Semiurban,Y
LP000060,Male,No,1,Not Graduate,No,1092,0,79.0,12.0,1.0,Urban,N
LP000061,Male,Yes,1,Graduate,No,517,1239,370.0,480.0,0.0,Semiurban,Y
LP000062,Male,Yes,0,Graduate,,4207,1664,50.0,240.0,1.0,Rural,Y
LP000063,Male,Yes,,Graduate,No,1909,0,121.0,480.0,1.0,Semiurban,Y
LP000064,Female,No,0,Graduate,No,3132,0,81.0,360.0,1.0,Semiurban,Y
LP000065,Male,No,0,Graduate,No,8630,0,,180.0,1.0,Rural,Y
LP000066,Male,Yes,3+,Graduate,Yes,3245,0,92.0,360.0,1.0,Semiurban,Y
LP000067,Male,Yes,,Graduate,No,6963,0,98.0,360.0,1.0,Semiurban,Y
LP000068,Male,Yes,2,Graduate,No,1592,2881,125.0,,1.0,Urban,Y
LP000069,Male,Yes,0,Graduate,No,2849,0,543.0,360.0,1.0,Urban,Y
LP000070,Male,No,0,Graduate,No,13789,1613,284.0,360.0,1.0,Urban,Y
LP000071,Male,Yes,0,Graduate,No,3367,0,103.0,120.0,1.0,Rural,Y
LP000072,Male,Yes,,Graduate,No,10270,744,78.0,360.0,1.0,Semiurban,Y
LP000073,Female,Yes,1,Graduate,No,20558,0,,360.0,1.0,Rural,Y
LP000074,Male,Yes,0,Graduate,Yes,4572,0,72.0,360.0,,Urban,N
LP000075,Male,No,2,Graduate,No,2884,0,234.0,360.0,1.0,Urban,Y
LP000076,Male,Yes,1,Graduate,No,1092,1292,88.0,,1.0,Semiurban,Y
LP000077,Male,Yes,0,Graduate,No,5375,0,258.0,360.0,1.0,Urban,Y
LP000078,Male,Yes,0,Graduate,Yes,7681,0,257.0,300.0,1.0,Semiurban,Y
LP000079,Male,No,0,Graduate,No,7339,0,122.0,360.0,1.0,Urban,Y
LP000080,Female,No,0,Graduate,No,10986,1253,58.0,180.0,1.0,Urban,Y
LP000081,Male,Yes,0,Graduate,No,2282,0,204.0,240.0,1.0,Semiurban,Y
LP000082,Male,Yes,2,Not Graduate,No,9101,0,66.0,360.0,1.0,Semiurban,Y
LP000083,Female,Yes,,Graduate,No,3702,1217,133.0,180.0,1.0,Urban,Y
LP000084,Male,,3+,Graduate,No,5632,0,306.0,360.0,1.0,Urban,Y
LP000085,Male,Yes,2,Graduate,No,4256,1331,35.0,360.0,1.0,Urban,Y
LP000086,Male,No,1,Graduate,No,2693,0,114.0,240.0,1.0,Urban,Y
LP000087,Female,No,0,Graduate,Yes,2753,0,93.0,360.0,1.0,Rural,Y
LP000088,Male,Yes,0,Graduate,No,5098,1072,103.0,180.0,1.0,Semiurban,Y
LP000089,Male,Yes,1,Graduate,No,2376,555,61.0,180.0,,Urban,Y
LP000090,Male,,,Graduate,Yes,5201,0,420.0,240.0,1.0,Semiurban,Y
LP000091,Male,Yes,0,Graduate,No,3401,3227,146.0,240.0,0.0,Urban,N
LP000092,Female,Yes,3+,Not Graduate,No,2131,0,43.0,120.0,,Urban,N
LP000093,Male,Yes,0,Graduate,No,1380,0,,360.0,1.0,Rural,Y
LP000094,Male,No,0,Graduate,No,567,0,249.0,360.0,1.0,Urban,Y
LP000095,Male,Yes,3+,Graduate,No,7672,2094,128.0,36.0,,Rural,Y
LP000096,Male,No,0,Not Graduate,No,5605,0,328.0,60.0,0.0,Rural,N
LP000097,Male,Yes,0,Not Graduate,No,510,0,42.0,360.0,1.0,Rural,Y
LP000098,,Yes,0,Graduate,No,5836,2050,250.0,,,Semiurban,Y
LP000099,Male,Yes,1,Graduate,Yes,6913,0,116.0,480.0,1.0,Urban,Y
LP000100,Female,No,3+,Not Graduate,No,1140,0,81.0,60.0,1.0,Rural,Y
LP000101,Female,Yes,2,Graduate,No,7971,0,207.0,360.0,1.0,Rural,Y
LP000102,Female,Yes,1,Graduate,Yes,12579,2853,205.0,120.0,0.0,Semiurban,N
LP000103,Male,No,,Graduate,No,8853,254,308.0,360.0,0.0,Urban,Y
LP000104,Female,No,,Graduate,No,13823,0,300.0,360.0,,Urban,Y
LP000105,Female,No,1,Graduate,No,8519,2281,139.0,360.0,1.0,Urban,Y
LP000106,Female,Yes,0,Graduate,No,2590,0,55.0,180.0,1.0,Urban,Y
LP000107,Male,Yes,0,Graduate,,4497,0,49.0,360.0,1.0,Semiurban,Y
LP000108,Male,No,2,Graduate,No,5713,815,51.0,360.0,0.0,Rural,Y
LP000109,Male,Yes,3+,Graduate,No,11936,0,105.0,360.0,1.0,Semiurban,Y
LP000110,Female,Yes,3+,Graduate,No,3777,0,153.0,240.0,1.0,Semiurban,Y
LP000111,Male,Yes,2,Graduate,No,2948,0,181.0,360.0,1.0,Rural,Y
LP000112,Male,Yes,1,Graduate,No,1517,599,184.0,360.0,1.0,Semiurban,Y
LP000113,Male,No,2,Not Graduate,Yes,6422,0,85.0,360.0,0.0,Semiurban,Y
LP000114,Male,No,3+,Graduate,No,5094,0,285.0,360.0,1.0,Rural,Y
LP000115,Male,Yes,0,Graduate,No,2531,0,324.0,240.0,1.0,Urban,Y
LP000116,Female,No,1,Not Graduate,No,4450,0,76.0,360.0,1.0,Rural,Y
LP000117,Female,Yes,0,Graduate,No,3564,1162,126.0,360.0,1.0,Urban,Y
LP000118,Female,Yes,3+,Graduate,No,1879,3225,,360.0,1.0,Semiurban,Y
LP000119,Male,Yes,,Graduate,No,10562,0,298.0,360.0,1.0,Semiurban,Y
LP000120,Male,No,2,Not Graduate,No,705,0,186.0,360.0,1.0,Semiurban,N
LP000121,Male,Yes,0,Graduate,No,4882,0,96.0,360.0,1.0,Semiurban,Y
LP000122,Male,Yes,3+,Graduate,No,4137,2478,76.0,60.0,1.0,Urban,Y
LP000123,Male,No,0,Graduate,No,1532,0,73.0,240.0,1.0,Rural,Y
LP000124,Male,Yes,0,Not Graduate,No,3332,0,116.0,360.0,1.0,Semiurban,Y
LP000125,Male,No,1,Not Graduate,No,1718,1471,101.0,,0.0,Semiurban,N
LP000126,Male,Yes,2,Graduate,No,13284,526,66.0,84.0,1.0,Rural,Y
LP000127,Male,Yes,3+,Graduate,No,8540,0,198.0,,1.0,Semiurban,Y
LP000128,Male,No,0,Graduate,No,5134,0,110.0,360.0,1.0,Rural,Y
LP000129,Male,Yes,,Graduate,No,880,968,170.0,360.0,0.0,Urban,N
LP000130,Male,Yes,1,Graduate,No,3098,2016,65.0,360.0,1.0,Urban,Y
LP000131,Male,Yes,0,Not Graduate,No,1787,531,234.0,360.0,0.0,Urban,N
LP000132,Female,No,3+,Graduate,No,9766,0,212.0,240.0,0.0,Rural,N
LP000133,Male,No,0,Not Graduate,Yes,4087,0,253.0,360.0,1.0,Rural,Y
LP000134,Male,No,0,Graduate,Yes,7375,1441,125.0,360.0,1.0,Rural,N
LP000135,Male,Yes,1,Not Graduate,No,5225,0,117.0,360.0,1.0,Semiurban,Y
LP000136,Male,Yes,,Graduate,No,12835,0,189.0,360.0,1.0,Urban,Y
LP000137,Female,Yes,3+,Graduate,No,11478,3959,273.0,360.0,0.0,Semiurban,Y
LP000138,Male,Yes,0,Not Graduate,No,3846,0,132.0,180.0,1.0,Semiurban,Y
LP000139,Female,No,0,Graduate,No,3726,0,56.0,60.0,1.0,Urban,Y
LP000140,Male,Yes,3+,Not Graduate,No,3578,4427,104.0,360.0,1.0,Semiurban,Y
LP000141,Male,Yes,1,Graduate,No,4352,4593,,300.0,1.0,Rural,Y
LP000142,Male,Yes,0,Not Graduate,,4495,5335,205.0,360.0,1.0,Urban,Y
LP000143,Female,Yes,,Not Graduate,Yes,2517,0,159.0,360.0,,Semiurban,Y
LP000144,Male,Yes,3+,Graduate,No,8000,0,106.0,360.0,1.0,Semiurban,Y
LP000145,Male,Yes,2,Graduate,No,4583,0,343.0,300.0,1.0,Urban,Y
LP000146,Male,Yes,0,Graduate,No,5715,1349,76.0,360.0,0.0,Urban,N
LP000147,Male,Yes,0,Graduate,No,2043,3393,135.0,480.0,1.0,Semiurban,Y
LP000148,Male,Yes,0,Graduate,No,3722,1383,175.0,240.0,1.0,Semiurban,Y
LP000149,Male,No,0,Graduate,No,5944,0,170.0,480.0,1.0,Semiurban,Y
LP000150,Male,Yes,0,Graduate,No,3950,4198,86.0,180.0,1.0,Urban,Y
LP000151,Female,Yes,0,Graduate,No,967,772,,180.0,,Urban,Y
LP000152,Female,Yes,0,Graduate,No,1993,275,186.0,360.0,1.0,Semiurban,Y
LP000153,Male,Yes,0,Not Graduate,No,3368,0,148.0,480.0,1.0,Semiurban,Y
LP000154,Male,No,1,Not Graduate,Yes,9679,0,170.0,360.0,0.0,Semiurban,N
LP000155,Male,Yes,1,Graduate,No,3823,2380,100.0,84.0,0.0,Urban,N
LP000156,Male,No,2,Graduate,No,3236,516,373.0,180.0,,Rural,Y
LP000157,Male,No,0,Graduate,Yes,11896,914,283.0,360.0,1.0,Urban,Y
LP000158,Male,Yes,3+,Graduate,Yes,6045,0,93.0,360.0,1.0,Urban,Y
LP000159,Female,Yes,3+,Graduate,No,7208,546,123.0,360.0,1.0,Semiurban,Y
LP000160,Female,Yes,3+,Graduate,No,3669,0,253.0,360.0,,Rural,N
LP000161,Male,Yes,0,Graduate,No,3415,0,194.0,360.0,1.0,Rural,N
LP000162,Female,Yes,0,Graduate,No,7587,1346,145.0,360.0,1.0,Rural,Y
LP000163,Male,Yes,1,Graduate,No,6885,0,78.0,360.0,1.0,Semiurban,Y
LP000164,Male,Yes,0,Graduate,No,3610,522,83.0,360.0,1.0,Semiurban,Y
LP000165,Male,Yes,0,Graduate,No,2141,0,142.0,360.0,1.0,Semiurban,Y
LP000166,Male,No,0,Graduate,No,1502,0,342.0,180.0,1.0,Semiurban,Y
LP000167,Female,No,1,Not Graduate,No,992,920,259.0,360.0,1.0,Urban,Y
LP000168,Female,No,2,Graduate,,2946,0,193.0,360.0,1.0,Semiurban,Y
LP000169,Male,Yes,0,Graduate,No,5463,0,206.0,60.0,1.0,Rural,Y
LP000170,Female,Yes,3+,Graduate,No,1506,0,38.0,360.0,1.0,Urban,Y
LP000171,Male,No,2,Graduate,No,1571,0,162.0,360.0,1.0,Urban,N
LP000172,Male,No,0,Graduate,No,5684,0,161.0,360.0,1.0,Urban,Y
LP000173,Male,Yes,1,Graduate,No,12328,969,60.0,360.0,1.0,Semiurban,Y
LP000174,Female,Yes,0,Graduate,No,9024,1332,467.0,360.0,1.0,Semiurban,Y
LP000175,Male,Yes,3+,Graduate,No,1343,0,,360.0,1.0,Semiurban,Y
LP000176,Male,No,2,Graduate,No,5736,0,187.0,360.0,1.0,Semiurban,Y
LP000177,Male,Yes,2,Graduate,No,8277,812,90.0,360.0,1.0,Rural,Y
LP000178,Female,Yes,2,Graduate,Yes,4350,0,158.0,60.0,1.0,Urban,N
LP000179,Female,Yes,0,Not Graduate,No,2312,1907,,360.0,1.0,Rural,N
LP000180,Female,Yes,3+,Graduate,No,5523,0,395.0,360.0,1.0,Rural,Y
LP000181,Female,Yes,3+,Not Graduate,No,3703,0,232.0,360.0,0.0,Semiurban,Y
LP000182,Female,No,2,Graduate,No,5682,0,152.0,360.0,1.0,Urban,Y
LP000183,Male,Yes,1,Graduate,No,7120,0,59.0,360.0,1.0,Rural,Y
LP000184,Male,Yes,0,Not Graduate,No,3103,0,68.0,240.0,1.0,Semiurban,Y
LP000185,Female,Yes,0,Graduate,No,2960,1111,33.0,360.0,0.0,Urban,Y
LP000186,Male,No,0,Graduate,No,3327,0,113.0,360.0,,Urban,Y
LP000187,Male,Yes,1,Not Graduate,,1625,1582,181.0,360.0,1.0,Rural,Y
LP000188,Male,Yes,2,Graduate,,3295,0,142.0,360.0,0.0,Urban,N
LP000189,Female,Yes,3+,Not Graduate,No,3885,14552,195.0,360.0,0.0,Semiurban,N
LP000190,Male,No,0,Graduate,No,2691,0,444.0,180.0,1.0,Semiurban,Y
LP000191,,No,0,Graduate,No,8914,0,81.0,360.0,1.0,Semiurban,Y
LP000192,Male,No,0,Graduate,No,2339,0,80.0,12.0,1.0,Semiurban,Y
LP000193,Male,Yes,3+,Graduate,No,5075,2563,146.0,480.0,0.0,Urban,Y
LP000194,Female,No,2,Not Graduate,Yes,6268,0,57.0,240.0,1.0,Semiurban,Y
LP000195,Male,No,1,Graduate,No,5953,0,132.0,300.0,1.0,Urban,Y
LP000196,Male,Yes,1,Graduate,Yes,1806,1239,106.0,300.0,1.0,Urban,Y
LP000197,Male,Yes,1,Not Graduate,No,2941,0,67.0,480.0,1.0,Urban,Y
LP000198,Female,Yes,0,Not Graduate,No,1669,367,66.0,360.0,1.0,Semiurban,Y
LP000199,Male,Yes,0,Graduate,No,1882,3412,101.0,300.0,1.0,Urban,Y
LP000200,Male,Yes,0,Graduate,No,5140,0,93.0,300.0,1.0,Semiurban,Y
LP000201,Female,Yes,0,Not Graduate,No,1197,2631,111.0,360.0,1.0,Urban,N
LP000202,Female,No,1,Graduate,No,5214,0,285.0,120.0,1.0,Semiurban,Y
LP000203,Male,Yes,0,Graduate,No,11457,2905,242.0,360.0,1.0,Urban,Y
LP000204,Male,Yes,2,Graduate,Yes,7306,4250,169.0,360.0,1.0,Semiurban,Y
LP000205,Male,Yes,,Graduate,No,3822,679,197.0,360.0,0.0,Rural,N
LP000206,Male,Yes,1,Not Graduate,No,2429,0,77.0,360.0,,Urban,Y
LP000207,Male,Yes,,Graduate,No,8055,9863,191.0,360.0,1.0,Semiurban,Y
LP000208,Male,Yes,0,Not Graduate,No,2211,0,78.0,180.0,1.0,Semiurban,Y
LP000209,Male,Yes,1,Graduate,No,3286,2566,188.0,480.0,1.0,Urban,Y
LP000210,Male,No,0,Graduate,No,2427,0,372.0,240.0,1.0,Urban,Y
LP000211,Female,Yes,2,Graduate,No,2487,0,236.0,360.0,1.0,Urban,Y
LP000212,Male,No,1,Not Graduate,No,4820,0,222.0,360.0,1.0,Rural,Y
LP000213,Male,No,0,Graduate,No,3242,0,75.0,180.0,1.0,Urban,N
LP000214,Female,Yes,0,Graduate,Yes,8611,542,136.0,120.0,1.0,Rural,N
LP000215,Female,,2,Graduate,No,6723,1721,160.0,360.0,1.0,Semiurban,Y
LP000216,Female,Yes,2,Graduate,No,2388,0,244.0,360.0,1.0,Semiurban,Y
LP000217,Male,No,2,Graduate,No,2652,0,92.0,360.0,0.0,Rural,N
LP000218,Male,Yes,1,Graduate,No,6471,0,131.0,60.0,1.0,Urban,Y
LP000219,Female,Yes,1,Graduate,No,4872,2534,337.0,360.0,1.0,Rural,Y
LP000220,Male,,1,Graduate,No,3959,0,143.0,360.0,1.0,Urban,Y
LP000221,Male,Yes,,Graduate,No,6003,0,40.0,360.0,1.0,Semiurban,Y
LP000222,Male,No,1,Graduate,No,8587,0,74.0,240.0,1.0,Urban,Y
LP000223,Male,Yes,1,Not Graduate,No,2629,0,96.0,60.0,1.0,Rural,Y
LP000224,Female,No,2,Not Graduate,No,1863,0,79.0,300.0,1.0,Semiurban,Y
LP000225,Male,Yes,1,Graduate,No,4799,3949,160.0,,,Semiurban,Y
LP000226,Female,Yes,1,Graduate,Yes,3557,0,262.0,240.0,0.0,Rural,Y
LP000227,Male,No,3+,Graduate,No,4879,0,289.0,60.0,1.0,Urban,Y
LP000228,Male,Yes,3+,Graduate,No,4452,0,301.0,120.0,1.0,Rural,Y
LP000229,Male,No,0,Graduate,Yes,3532,2302,101.0,360.0,1.0,Semiurban,Y
LP000230,Male,No,3+,Graduate,No,3418,0,123.0,240.0,1.0,Rural,Y
LP000231,Male,Yes,0,Graduate,,4862,2999,132.0,360.0,1.0,Semiurban,Y
LP000232,Male,Yes,3+,Graduate,No,7162,1066,702.0,180.0,1.0,Rural,Y
LP000233,Female,No,0,Graduate,No,2517,0,174.0,180.0,0.0,Rural,Y
LP000234,Male,Yes,1,Graduate,Yes,3547,0,130.0,360.0,0.0,Semiurban,N
LP000235,Female,No,3+,Graduate,No,3488,0,85.0,360.0,1.0,Semiurban,Y
LP000236,Female,Yes,,Graduate,No,6416,423,273.0,360.0,1.0,Rural,Y
LP000237,Male,No,2,Graduate,No,7134,0,70.0,360.0,1.0,Rural,Y
LP000238,Female,Yes,1,Not Graduate,,3197,0,161.0,360.0,1.0,Rural,Y
LP000239,Male,No,0,Graduate,Yes,9553,0,134.0,360.0,1.0,Rural,Y
LP000240,Male,Yes,3+,Graduate,Yes,12777,2123,116.0,480.0,0.0,Urban,Y
LP000241,Female,Yes,1,Not Graduate,Yes,4033,0,401.0,240.0,1.0,Rural,Y
LP000242,Female,No,3+,Graduate,No,2641,0,189.0,180.0,1.0,Semiurban,Y
LP000243,Male,No,3+,Graduate,No,4228,0,247.0,360.0,1.0,Urban,Y
LP000244,Male,Yes,0,Graduate,Yes,2477,941,,360.0,1.0,Urban,Y
LP000245,Male,No,0,Graduate,No,5747,0,247.0,480.0,,Urban,Y
LP000246,Female,Yes,0,Graduate,No,3230,0,300.0,360.0,1.0,Rural,Y
LP000247,Male,Yes,,Graduate,No,4783,833,161.0,360.0,1.0,Rural,N
LP000248,Male,Yes,0,Not Graduate,Yes,3445,143,108.0,360.0,1.0,Rural,Y
LP000249,Male,Yes,0,Graduate,No,3466,383,88.0,360.0,1.0,Urban,Y
LP000250,Male,Yes,2,Graduate,No,5148,497,140.0,360.0,1.0,Urban,Y
LP000251,Male,Yes,0,Graduate,Yes,5535,698,124.0,12.0,1.0,Urban,Y
LP000252,Female,,2,Graduate,No,2951,86,99.0,360.0,1.0,Semiurban,Y
LP000253,Male,No,1,Graduate,No,2178,0,179.0,360.0,1.0,Rural,Y
LP000254,Male,No,0,Graduate,No,5604,0,154.0,360.0,1.0,Rural,Y
LP000255,Male,No,0,Graduate,No,2030,0,112.0,180.0,1.0,Urban,Y
LP000256,Female,Yes,0,Graduate,No,14280,909,113.0,360.0,1.0,Rural,Y
LP000257,Female,No,,Graduate,No,10266,2813,53.0,480.0,1.0,Semiurban,Y
LP000258,Male,Yes,0,Not Graduate,No,959,6674,125.0,360.0,1.0,Rural,Y
LP000259,Male,No,2,Graduate,No,6686,0,69.0,240.0,,Rural,Y
LP000260,Male,Yes,2,Graduate,No,9319,435,111.0,360.0,,Semiurban,Y
LP000261,Male,Yes,0,Graduate,,3038,0,162.0,360.0,1.0,Rural,Y
LP000262,,Yes,3+,Not Graduate,No,3388,2269,49.0,360.0,1.0,Urban,Y
LP000263,Male,,3+,Graduate,No,4099,0,117.0,360.0,1.0,Rural,Y
LP000264,Male,No,0,Graduate,No,6927,0,165.0,360.0,1.0,Rural,Y
LP000265,Female,No,3+,Not Graduate,No,2017,573,58.0,480.0,1.0,Rural,Y
LP000266,Male,No,0,Graduate,No,8596,0,97.0,360.0,1.0,Urban,Y
LP000267,Male,No,2,Graduate,No,4051,0,65.0,360.0,1.0,Rural,Y
LP000268,Male,Yes,0,Graduate,Yes,4884,0,219.0,360.0,1.0,Urban,Y
LP000269,Male,No,2,Graduate,Yes,9149,0,95.0,360.0,1.0,Rural,Y
LP000270,Male,Yes,2,Graduate,Yes,10780,0,93.0,12.0,1.0,Rural,Y
LP000271,Male,Yes,3+,Not Graduate,No,590,1213,216.0,360.0,1.0,Urban,Y
LP000272,,Yes,3+,Graduate,No,673,0,117.0,360.0,1.0,Semiurban,Y
LP000273,Male,No,0,Graduate,No,5552,0,365.0,84.0,1.0,Semiurban,Y
LP000274,Male,No,2,Graduate,No,2891,0,181.0,300.0,1.0,Rural,Y
LP000275,Male,Yes,0,Graduate,No,1884,2474,173.0,360.0,1.0,Urban,Y
LP000276,Male,Yes,0,Graduate,No,3487,371,176.0,360.0,0.0,Rural,N
LP000277,Male,Yes,0,Not Graduate,No,17894,1982,275.0,360.0,1.0,Rural,N
LP000278,Male,No,3+,Graduate,No,1873,0,24.0,36.0,1.0,Semiurban,Y
LP000279,Female,No,2,Not Graduate,No,4796,0,196.0,480.0,1.0,Semiurban,Y
LP000280,Female,Yes,0,Graduate,No,2711,0,85.0,360.0,1.0,Semiurban,Y
LP000281,Male,Yes,3+,Graduate,No,1730,605,70.0,360.0,1.0,Urban,Y
LP000282,Male,Yes,2,Graduate,No,2987,0,124.0,360.0,1.0,Rural,Y
LP000283,Male,Yes,0,Not Graduate,No,1070,1496,128.0,480.0,1.0,Urban,Y
LP000284,Male,Yes,1,Graduate,No,1604,0,51.0,360.0,,Urban,N
LP000285,Male,Yes,2,Graduate,No,2776,0,69.0,360.0,1.0,Urban,Y
LP000286,Male,Yes,,Graduate,Yes,2955,0,61.0,360.0,1.0,Semiurban,Y
LP000287,Male,Yes,1,Graduate,No,4044,2101,84.0,180.0,1.0,Semiurban,Y
LP000288,Male,No,1,Graduate,No,4962,0,177.0,120.0,1.0,Semiurban,Y
LP000289,Male,Yes,,Not Graduate,No,1615,0,108.0,360.0,0.0,Urban,Y
LP000290,Male,Yes,1,Graduate,No,6695,0,157.0,480.0,1.0,Semiurban,Y
LP000291,Female,No,0,Graduate,Yes,3898,0,86.0,360.0,1.0,Semiurban,Y
LP000292,Male,No,0,Graduate,Yes,5432,0,284.0,360.0,1.0,Semiurban,Y
LP000293,Female,Yes,0,Graduate,No,1085,0,104.0,120.0,1.0,Urban,Y
LP000294,Male,Yes,1,Graduate,No,4690,0,219.0,360.0,1.0,Semiurban,Y
LP000295,Female,No,1,Graduate,Yes,25947,0,139.0,360.0,0.0,Semiurban,Y
LP000296,Female,Yes,1,Graduate,Yes,10064,4585,87.0,360.0,1.0,Rural,Y
LP000297,Female,No,0,Graduate,No,3975,0,442.0,360.0,1.0,Semiurban,Y
LP000298,Female,Yes,3+,Not Graduate,No,1270,0,265.0,180.0,1.0,Urban,Y
LP000299,Female,Yes,0,Graduate,No,12846,0,119.0,360.0,1.0,Urban,Y
LP000300,Male,Yes,1,Graduate,,4005,0,222.0,360.0,0.0,Urban,Y
LP000301,Female,No,0,Graduate,Yes,3874,0,133.0,120.0,1.0,Urban,Y
LP000302,Male,Yes,2,Graduate,Yes,3938,0,115.0,480.0,0.0,Rural,Y
LP000303,Male,Yes,1,Graduate,Yes,23096,0,91.0,180.0,1.0,Semiurban,Y
LP000304,Male,Yes,1,Graduate,No,4118,0,133.0,360.0,1.0,Urban,Y
